index,success,reason,run_num,regression,,,,,,
82,1,slipping,41,1,47,52.36322096,52.36322096,,,
83,1,,42,-1,65.3826691,78.34312946,78.34312946,,,
84,1,,42,1,58.12323297,54.77134332,54.77134332,,,
85,1,,43,1,46.32845779,59.55260131,59.55260131,,,
86,1,,43,1,49.20656718,54.76723056,54.76723056,,,
87,0,no marble,44,0,0,16.99555246,16.99555246,,,
88,0,no marble,44,0,0,129.4121137,129.4121137,,,
89,1,,45,-1,84.69660642,60.45986347,60.45986347,,,
90,1,slipping,45,1,138.5041581,28.3167951,28.3167951,,,
91,1,,46,1,72.10187058,74.30864604,74.30864604,,,
92,1,,46,1,53.2653,62.76062534,62.76062534,,,
93,1,,47,1,75.3845,60.97614884,60.97614884,,,
94,1,slipping,47,1,53.1296,58.56354011,58.56354011,,,
95,1,,48,0,0,0,0,,,
96,1,,48,0,0,0,0,,,
97,1,,49,1,82.98199595,62.19680316,62.19680316,,,
98,0,slip,49,0,54.21774283,62.00310875,62.00310875,,,
99,1,,50,0,0,54.12044778,54.12044778,,,
100,1,,50,0,0,62.65749104,62.65749104,,,
101,1,,51,-1,166.5344764,82.48805399,82.48805399,,,
102,1,,51,1,140.4432906,70.51576276,70.51576276,,,
103,1,,52,1,64.43865837,55.60122476,55.60122476,,,
104,1,,52,1,45.12994405,41.19879206,41.19879206,,,
105,1,,53,0,0,76.54939161,76.54939161,,,
106,1,,53,0,0,42.48795559,42.48795559,,,
107,1,,54,0,96.48011122,32.37004653,32.37004653,,,
108,1,,54,0,0,0,0,,,
109,0,slip,55,0,-85.86599361,51.25631373,51.25631373,,,
110,0,slip,55,0,65.85966002,0,0,,,
111,0,no marble,56,0,0,0,0,,,
112,0,no marble,56,0,0,0,0,,,
113,0,no marble,57,0,0,0,0,,,
114,0,no marble,57,0,0,0,0,,,
115,0,no marble,58,0,0,0,0,,,
116,0,no marble,58,0,0,0,0,,,
117,0,no marble,59,0,0,0,0,,,
118,0,no marble,59,0,0,0,0,,,
119,1,,60,0,-173.459019,52.20677868,52.20677868,,,
120,1,,60,0,63.29695035,52.99763624,52.99763624,,,
121,1,,61,0,0,0,0,,,
122,1,,61,0,0,0,0,,,
123,1,,62,1,50.20076027,62.22565846,62.22565846,,,
124,1,,62,1,73.33276954,63.83449628,63.83449628,,,
125,1,,63,1,73.56299607,65.33558619,65.33558619,,,
126,1,,63,1,67.12848826,66.5811326,66.5811326,,,
127,1,,64,1,88.18074399,70.55489681,70.55489681,,,
128,1,slipping,64,1,148.0253457,74.36236636,74.36236636,,,
129,1,,65,-1,61.64423118,57.39503217,57.39503217,,,
130,1,,65,-1,69.54114235,72.04493653,72.04493653,,,
131,1,,66,1,30.44424111,69.1681143,69.1681143,,,
132,1,,66,-1,40.10227066,65.97319597,65.97319597,,,
133,1,,67,1,69.28746612,69.46424213,69.46424213,,,
134,1,,67,1,61.16250155,70.11694819,70.11694819,,,
135,1,,68,0,0,0,0,,,
136,1,,68,0,0,0,0,,,
137,1,,69,1,149.8471833,98.99930867,98.99930867,,,
138,1,,69,1,116.2558804,79.46448187,79.46448187,,,
139,1,,70,1,92.53780658,80.65993732,80.65993732,,,
140,1,,70,1,31.12449341,79.7511533,79.7511533,,,
141,1,,71,0,0,0,0,,,
142,1,,71,0,0,0,0,,,
143,1,,72,1,121.8159341,97.10530149,97.10530149,,,
144,1,,72,1,155.4210651,83.03247962,83.03247962,,,
145,1,,73,1,100.2196364,97.010158,97.010158,,,
146,1,,73,1,130.1212274,81.11831099,81.11831099,,,
147,1,,74,0,0,0,0,,,
148,1,,74,0,0,0,0,,,
149,1,,75,0,0,0,0,,,
150,1,,75,0,0,0,0,,,
151,1,,76,1,67.919,46.14097225,46.14097225,,,
152,1,,76,1,68.924,51.48605335,51.48605335,,,
153,1,,77,1,56.447,56.4662975,56.4662975,,,
154,1,,77,1,59.898,64.46715093,64.46715093,,,
155,1,,78,1,73.512,72.77806384,72.77806384,,,
156,1,,78,1,73.3,74.76121361,74.76121361,,,
157,0,no manip,79,0,0,0,0,,,
158,0,no manip,79,0,0,0,0,,,
159,1,,80,1,68.901,71.82758062,71.82758062,,,
160,1,,80,1,68.222,66.97912739,66.97912739,,,
161,1,,81,1,68.182,75.43993492,75.43993492,,,
162,1,,81,1,68.15,76.27189675,76.27189675,,,
163,1,,82,1,68.96461497,79.71143261,79.71143261,,,
164,1,,82,1,77.2931725,73.74147571,73.74147571,,,
165,1,,83,1,90.58945458,80.01575837,80.01575837,,,
166,1,,83,1,95.22679067,70.89626489,70.89626489,,,
167,1,,84,1,72.493,67.29681437,67.29681437,,,
168,1,,84,1,72.645,68.51499846,68.51499846,,,
169,1,,85,0,0,0,0,,,
170,1,,85,0,0,0,0,,,
171,1,,86,1,80.8076,81.49223077,81.49223077,,,
172,1,,86,1,75.7339,76.51123643,76.51123643,,,
173,1,,87,1,35.89961818,68.95457209,68.95457209,,,
174,1,,87,1,58.2506426,42.69511928,42.69511928,,,
175,1,,88,1,67.652,63.60685555,63.60685555,,,
176,1,,88,1,71.384,75.35788074,75.35788074,,,
177,1,,89,1,78.05425903,75.42728887,75.42728887,,,
178,1,,89,1,70.71,71.11216287,71.11216287,,,
179,1,,90,1,78.017,81.33438734,81.33438734,,,
180,1,,90,1,71.9288,75.91924324,75.91924324,,,
181,1,,91,1,71.9046,76.53179631,76.53179631,,,
182,1,,91,1,72.77,69.30639665,69.30639665,,,
183,1,,92,1,70.656,66.86311596,66.86311596,,,
184,1,,92,1,73.512,76.86537419,76.86537419,,,
185,1,,93,1,73.587,77.48440389,77.48440389,,,
186,1,,93,1,73.11,70.98111254,70.98111254,,,
187,1,,94,0,0,0,0,,,
188,1,,94,0,0,0,0,,,
189,1,,95,1,63.43874099,69.72400702,69.72400702,,,
190,1,,95,1,65.69866409,65.69866409,65.69866409,,,
191,1,,96,1,51.27908725,81.19273387,81.19273387,,,
192,1,,96,1,52.14426218,82.40314102,82.40314102,,,
193,1,,97,1,51.69140631,83.99760915,83.99760915,,,
194,1,,97,1,49.70128202,84.8399325,84.8399325,,,
195,1,,98,1,46.57322654,57.26518405,57.26518405,,,
196,1,,98,1,54.46109551,65.85615246,65.85615246,,,
197,1,,99,1,67.20699445,63.23902385,63.23902385,,,
198,1,,99,1,64.23851273,62.42006874,62.42006874,,,
199,1,,100,1,49.87761551,77.01491801,77.01491801,,,
200,1,,100,1,52.01452718,66.83692986,66.83692986,,,
201,1,,101,-1,0,0,0,,,
202,1,,101,-1,0,0,0,,,
203,1,,102,1,107.2041751,69.23975994,69.23975994,,,
204,1,,102,1,165.4113848,74.63081739,74.63081739,,,
205,0,no marble,103,0,-523.5885607,0,0,,,
206,0,no marble,103,0,106.0567765,0,0,,,
207,0,no marble,104,0,0,0,0,,,
208,0,no marble,104,0,0,0,0,,,
209,0,no marble,105,0,155.2399342,91.15295861,91.15295861,,,
210,-1,no marble,105,0,147.5626316,65.90108045,65.90108045,,,
211,1,,106,-1,80.14323131,76.56190293,76.56190293,,,
212,1,,106,1,95.26436515,59.18663438,59.18663438,,,
213,1,,107,-1,96.55607866,78.52756598,78.52756598,,,
214,1,,107,1,129.0299645,74.83289973,74.83289973,,237,no marble
215,1,,108,1,161.8618177,64.43531558,64.43531558,,218,no marble
216,0,slip,108,0,141.0937644,46.05517413,46.05517413,,54,slipped
217,0,slip,109,0,65.33332923,88.99260215,88.99260215,,228,slipped
218,0,slip,109,0,122.9710862,21.8218652,21.8218652,,237,no marble
219,1,,110,-1,162.8243515,71.09601047,71.09601047,,210,no marble
220,1,,110,1,137.2962629,78.27174822,78.27174822,,54,slipped
221,1,,111,1,132.1308124,71.00597271,71.00597271,,234,slipped
222,1,,111,1,176.2469686,78.97269212,78.97269212,,109,slipped
223,1,,112,1,129.1579486,95.19985839,95.19985839,,217,slipped
224,1,,112,1,40.06717717,74.11422042,74.11422042,,239,no marble
225,1,,113,0,0,0,0,,240,no marble
226,1,,113,0,0,0,0,,115,no marble
227,1,,114,1,139.421631,72.553561,72.553561,,109,slipped
228,0,slip,114,0,31.53310094,70.0030743,70.0030743,,98,slipped
229,0,slip,115,0,-110.1767519,86.11105415,86.11105415,,112,no marble
230,-1,no marble,115,0,90.96105158,1.046320959,1.046320959,,209,no marble
231,0,no manip,116,0,0,0,0,,207,no marble
232,0,no manip,116,0,0,0,0,,111,no marble
233,1,,117,-1,129.0005572,107.0848554,107.0848554,,234,slipped
234,0,slip,117,0,38.20941516,84.54993196,84.54993196,,54,slipped
235,1,,118,-1,165.8419897,99.20184747,99.20184747,,239,no marble
236,0,slip,118,0,57.73024669,82.89235516,82.89235516,,208,no marble
237,0,no marble,119,0,0,0,0,,136,success
238,0,no marble,119,0,0,0,0,,238,no marble
239,0,no marble,120,0,0,0,0,,114,no marble
240,0,no marble,120,0,0,0,0,,207,no marble
241,0,no manip,121,0,,,,,109,slipped
242,0,no manip,121,0,,,,,,
243,0,no manip,122,0,,,,,,
244,0,no manip,122,0,,,,,,
245,0,no manip,123,0,,,,,,
246,0,no manip,123,0,,,,,,
247,0,no manip,124,0,,,,,,
248,0,no manip,124,0,,,,,,
249,0,no manip,125,0,,,,,,
250,0,no manip,125,0,,,,,,
251,0,no manip,126,0,,,,,,
252,0,no manip,126,0,,,,,,
253,0,no manip,127,0,,,,,,
254,0,no manip,127,0,,,,,,
255,0,no manip,128,0,,,,,,
256,0,no manip,128,0,,,,,,
257,0,no manip,129,0,,,,,,
258,0,no manip,129,0,,,,,,
259,0,no manip,130,0,,,,,,
260,0,no manip,130,0,,,,,,
